date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:40:04	771/771	---MCZ	200	added ('OK')	text/plain	date:Thu,%2018%20Dec%202025%2011:10:04%20GMT	https://dubaiexchange.co/robots.txt		(from )
16:40:04	55817/55817	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Dec%202025%2011:10:05%20GMT	https://dubaiexchange.co/	C:/My%20Web%20Sites/usdt%20website/dubaiexchange.co/index.html	(from )
16:40:05	232914/232914	---M-Z	200	added ('OK')	text/css	etag:W/%2238dd2-sjFlHg/Wi72HWBifvTZCxGLTT6Y%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/usdt%20website/cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css	(from https://dubaiexchange.co/)
16:40:05	71750/71750	---M-Z	200	added ('OK')	text/css	etag:%225f5628a2-11846%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	C:/My%20Web%20Sites/usdt%20website/cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	(from https://dubaiexchange.co/)
16:40:05	102025/102025	---M-Z	200	added ('OK')	text/css	etag:%226421d693-547f%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	C:/My%20Web%20Sites/usdt%20website/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	(from https://dubaiexchange.co/)
16:40:07	87008/87008	---M-Z	200	added ('OK')	text/css	etag:W/%22153e0-rp/p6DPa9owjeUXpre5bfzVHjRk%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.13.1/font/bootstrap-icons.min.css	C:/My%20Web%20Sites/usdt%20website/cdn.jsdelivr.net/npm/bootstrap-icons@1.13.1/font/bootstrap-icons.min.css	(from https://dubaiexchange.co/)
16:40:07	30066/30066	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Dec%202025%2011:10:07%20GMT	http://dubaiexchange.co/auth/login.php	C:/My%20Web%20Sites/usdt%20website/dubaiexchange.co/auth/login.html	(from https://dubaiexchange.co/)
16:40:08	36406/36406	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Dec%202025%2011:10:08%20GMT	http://dubaiexchange.co/auth/signup.php	C:/My%20Web%20Sites/usdt%20website/dubaiexchange.co/auth/signup.html	(from https://dubaiexchange.co/)
16:40:08	55817/55817	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Dec%202025%2011:10:09%20GMT	http://dubaiexchange.co/index.php	C:/My%20Web%20Sites/usdt%20website/dubaiexchange.co/index-2.html	(from https://dubaiexchange.co/)
16:40:09	0/0	---MC-	302	error ('Found')	text/html	date:Thu,%2018%20Dec%202025%2011:10:09%20GMT	http://dubaiexchange.co/deposit.php	C:/My%20Web%20Sites/usdt%20website/dubaiexchange.co/deposit.php	(from https://dubaiexchange.co/)
16:40:09	26478/26478	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Dec%202025%2011:10:10%20GMT	http://dubaiexchange.co/rates.php	C:/My%20Web%20Sites/usdt%20website/dubaiexchange.co/rates.html	(from https://dubaiexchange.co/)
16:40:10	29480/29480	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Dec%202025%2011:10:10%20GMT	http://dubaiexchange.co/testimonial.php	C:/My%20Web%20Sites/usdt%20website/dubaiexchange.co/testimonial.html	(from https://dubaiexchange.co/)
16:40:10	25906/25906	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Dec%202025%2011:10:10%20GMT	http://dubaiexchange.co/news.php	C:/My%20Web%20Sites/usdt%20website/dubaiexchange.co/news.html	(from https://dubaiexchange.co/)
16:40:11	34931/34931	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Dec%202025%2011:10:11%20GMT	http://dubaiexchange.co/contact.php	C:/My%20Web%20Sites/usdt%20website/dubaiexchange.co/contact.html	(from https://dubaiexchange.co/)
16:40:11	80421/80421	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213a25-1yL6mYLaiqSN+IJRuxiX8Twds7k%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/usdt%20website/cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/js/bootstrap.bundle.min.js	(from https://dubaiexchange.co/)
16:40:12	16/16	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2018%20Dec%202025%2011:10:12%20GMT	http://dubaiexchange.co/get_whatsapp_number.php	C:/My%20Web%20Sites/usdt%20website/dubaiexchange.co/get_whatsapp_number.php	(from https://dubaiexchange.co/)
16:40:13	102526/102526	---M-Z	200	added ('OK')	text/css	etag:%22656632a7-54f3%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.0/css/all.min.css	C:/My%20Web%20Sites/usdt%20website/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.0/css/all.min.css	(from https://dubaiexchange.co/)
16:40:53	7357/7357	---M--	520	error ('<none>')	text/html	date:Thu,%2018%20Dec%202025%2011:10:54%20GMT	http://dubaiexchange.co/assets/${currencyCode}.png	C:/My%20Web%20Sites/usdt%20website/dubaiexchange.co/assets/${currencyCode}.png	(from https://dubaiexchange.co/)
